level,enc,condition,estimator,speaker,uar
cremad,hubert_base,balanced@3,neutral_filter,1067,40.0
cremad,hubert_base,balanced@3,neutral_filter,1068,67.77777777777779
cremad,hubert_base,balanced@3,neutral_filter,1069,77.55555555555554
cremad,hubert_base,balanced@3,neutral_filter,1070,47.11111111111112
cremad,hubert_base,balanced@3,neutral_filter,1071,61.555555555555564
cremad,hubert_base,balanced@3,neutral_filter,1072,69.11111111111111
cremad,hubert_base,balanced@3,neutral_filter,1073,57.55555555555555
cremad,hubert_base,balanced@3,neutral_filter,1074,62.666666666666664
cremad,hubert_base,balanced@3,neutral_filter,1075,78.88888888888889
cremad,hubert_base,balanced@3,neutral_filter,1076,74.44444444444444
cremad,hubert_base,balanced@3,neutral_filter,1077,54.666666666666664
cremad,hubert_base,balanced@3,neutral_filter,1078,79.55555555555556
cremad,hubert_base,balanced@3,neutral_filter,1079,64.66666666666667
cremad,hubert_base,balanced@3,neutral_filter,1080,77.77777777777777
cremad,hubert_base,balanced@3,neutral_filter,1081,72.66666666666667
cremad,hubert_base,balanced@3,neutral_filter,1082,55.555555555555564
cremad,hubert_base,balanced@3,neutral_filter,1083,60.0
cremad,hubert_base,balanced@3,neutral_filter,1084,67.1111111111111
cremad,hubert_base,balanced@3,neutral_filter,1085,69.1111111111111
cremad,hubert_base,balanced@3,neutral_filter,1086,57.555555555555564
cremad,hubert_base,balanced@3,neutral_filter,1087,58.444444444444436
cremad,hubert_base,balanced@3,neutral_filter,1088,60.666666666666664
cremad,hubert_base,balanced@3,neutral_filter,1089,73.33333333333333
cremad,hubert_base,balanced@3,neutral_filter,1090,66.66666666666664
cremad,hubert_base,balanced@3,neutral_filter,1091,68.0
cremad,hubert_base,balanced@3,prior_corrected,1001,45.333333333333336
cremad,hubert_base,balanced@3,prior_corrected,1002,60.27777777777778
cremad,hubert_base,balanced@3,prior_corrected,1003,62.44444444444445
cremad,hubert_base,balanced@3,prior_corrected,1004,74.66666666666667
cremad,hubert_base,balanced@3,prior_corrected,1005,61.333333333333336
cremad,hubert_base,balanced@3,prior_corrected,1006,65.27777777777777
cremad,hubert_base,balanced@3,prior_corrected,1007,68.44444444444444
cremad,hubert_base,balanced@3,prior_corrected,1008,56.944444444444436
cremad,hubert_base,balanced@3,prior_corrected,1009,76.66666666666667
cremad,hubert_base,balanced@3,prior_corrected,1010,67.33333333333333
cremad,hubert_base,balanced@3,prior_corrected,1011,80.88888888888887
cremad,hubert_base,balanced@3,prior_corrected,1012,72.44444444444444
cremad,hubert_base,balanced@3,prior_corrected,1013,84.33333333333334
cremad,hubert_base,balanced@3,prior_corrected,1014,83.55555555555556
cremad,hubert_base,balanced@3,prior_corrected,1015,60.666666666666664
cremad,hubert_base,balanced@3,prior_corrected,1016,64.44444444444444
cremad,hubert_base,balanced@3,prior_corrected,1017,50.333333333333336
cremad,hubert_base,balanced@3,prior_corrected,1018,79.33333333333333
cremad,hubert_base,balanced@3,prior_corrected,1019,59.55555555555555
cremad,hubert_base,balanced@3,prior_corrected,1020,80.0
cremad,hubert_base,balanced@3,prior_corrected,1021,59.77777777777778
cremad,hubert_base,balanced@3,prior_corrected,1022,74.00000000000001
cremad,hubert_base,balanced@3,prior_corrected,1023,64.66666666666667
cremad,hubert_base,balanced@3,prior_corrected,1024,50.88888888888889
cremad,hubert_base,balanced@3,prior_corrected,1025,54.666666666666664
cremad,hubert_base,balanced@3,prior_corrected,1026,70.0
cremad,hubert_base,balanced@3,prior_corrected,1027,73.55555555555556
cremad,hubert_base,balanced@3,prior_corrected,1028,63.555555555555564
cremad,hubert_base,balanced@3,prior_corrected,1029,56.666666666666664
cremad,hubert_base,balanced@3,prior_corrected,1030,78.0
cremad,hubert_base,balanced@3,prior_corrected,1031,28.0
cremad,hubert_base,balanced@3,prior_corrected,1032,53.333333333333336
cremad,hubert_base,balanced@3,prior_corrected,1033,86.22222222222221
cremad,hubert_base,balanced@3,prior_corrected,1034,58.666666666666664
cremad,hubert_base,balanced@3,prior_corrected,1035,78.66666666666667
cremad,hubert_base,balanced@3,prior_corrected,1036,54.88888888888889
cremad,hubert_base,balanced@3,prior_corrected,1037,76.88888888888889
cremad,hubert_base,balanced@3,prior_corrected,1038,84.8888888888889
cremad,hubert_base,balanced@3,prior_corrected,1039,82.8888888888889
cremad,hubert_base,balanced@3,prior_corrected,1040,72.8888888888889
cremad,hubert_base,balanced@3,prior_corrected,1041,68.88888888888889
cremad,hubert_base,balanced@3,prior_corrected,1042,51.555555555555564
cremad,hubert_base,balanced@3,prior_corrected,1043,63.111111111111114
cremad,hubert_base,balanced@3,prior_corrected,1044,69.77777777777777
cremad,hubert_base,balanced@3,prior_corrected,1045,55.55555555555555
cremad,hubert_base,balanced@3,prior_corrected,1046,67.33333333333333
cremad,hubert_base,balanced@3,prior_corrected,1047,82.44444444444446
cremad,hubert_base,balanced@3,prior_corrected,1048,64.66666666666667
cremad,hubert_base,balanced@3,prior_corrected,1049,70.22222222222223
cremad,hubert_base,balanced@3,prior_corrected,1050,66.8888888888889
cremad,hubert_base,balanced@3,prior_corrected,1051,67.55555555555556
cremad,hubert_base,balanced@3,prior_corrected,1052,77.55555555555556
cremad,hubert_base,balanced@3,prior_corrected,1053,73.77777777777779
cremad,hubert_base,balanced@3,prior_corrected,1054,77.33333333333333
cremad,hubert_base,balanced@3,prior_corrected,1055,64.22222222222221
cremad,hubert_base,balanced@3,prior_corrected,1056,68.66666666666667
cremad,hubert_base,balanced@3,prior_corrected,1057,59.77777777777778
cremad,hubert_base,balanced@3,prior_corrected,1058,71.33333333333333
cremad,hubert_base,balanced@3,prior_corrected,1059,55.11111111111112
cremad,hubert_base,balanced@3,prior_corrected,1060,44.0
cremad,hubert_base,balanced@3,prior_corrected,1061,67.1111111111111
cremad,hubert_base,balanced@3,prior_corrected,1062,50.444444444444436
cremad,hubert_base,balanced@3,prior_corrected,1063,73.77777777777779
cremad,hubert_base,balanced@3,prior_corrected,1064,84.0
cremad,hubert_base,balanced@3,prior_corrected,1065,66.66666666666667
cremad,hubert_base,balanced@3,prior_corrected,1066,64.22222222222221
cremad,hubert_base,balanced@3,prior_corrected,1067,41.55555555555556
cremad,hubert_base,balanced@3,prior_corrected,1068,68.44444444444444
cremad,hubert_base,balanced@3,prior_corrected,1069,77.55555555555556
cremad,hubert_base,balanced@3,prior_corrected,1070,49.333333333333336
cremad,hubert_base,balanced@3,prior_corrected,1071,64.88888888888887
cremad,hubert_base,balanced@3,prior_corrected,1072,74.8888888888889
cremad,hubert_base,balanced@3,prior_corrected,1073,62.0
cremad,hubert_base,balanced@3,prior_corrected,1074,55.555555555555564
cremad,hubert_base,balanced@3,prior_corrected,1075,76.22222222222223
cremad,hubert_base,balanced@3,prior_corrected,1076,42.666666666666664
cremad,hubert_base,balanced@3,prior_corrected,1077,45.333333333333336
cremad,hubert_base,balanced@3,prior_corrected,1078,81.55555555555556
cremad,hubert_base,balanced@3,prior_corrected,1079,59.111111111111114
cremad,hubert_base,balanced@3,prior_corrected,1080,75.11111111111113
cremad,hubert_base,balanced@3,prior_corrected,1081,79.11111111111113
cremad,hubert_base,balanced@3,prior_corrected,1082,35.55555555555555
cremad,hubert_base,balanced@3,prior_corrected,1083,67.1111111111111
cremad,hubert_base,balanced@3,prior_corrected,1084,63.333333333333336
cremad,hubert_base,balanced@3,prior_corrected,1085,73.55555555555556
cremad,hubert_base,balanced@3,prior_corrected,1086,54.666666666666664
cremad,hubert_base,balanced@3,prior_corrected,1087,64.44444444444444
cremad,hubert_base,balanced@3,prior_corrected,1088,63.11111111111111
cremad,hubert_base,balanced@3,prior_corrected,1089,78.88888888888889
cremad,hubert_base,balanced@3,prior_corrected,1090,69.55555555555556
cremad,hubert_base,balanced@3,prior_corrected,1091,66.22222222222223
