corpus,model,window,criterion,n_draws,folds_per_draw,df,mean_pp,sd_draw_pp,se_pp,pointwise_95_low_pp,pointwise_95_high_pp
subesco,wavlm_base_plus,14,UAR,24,5,23,0.08928571428571411,2.5303175007962633,0.5164988970154345,-0.9791736597983088,1.157745088369737
subesco,wavlm_base_plus,15,CE,24,5,23,2.3363095238095237,2.678787085866458,0.5468051241608275,1.2051569422980952,3.4674621053209522
subesco,wavlm_base_plus,15,UAR,24,5,23,0.47619047619047583,2.515847435172879,0.5135452072386112,-0.5861587250579048,1.5385396774388564
subesco,wavlm_base_plus,16,CE,24,5,23,2.4404761904761902,2.698767889585438,0.5508836886410112,1.3008864555132447,3.580065925439136
subesco,wavlm_base_plus,16,UAR,24,5,23,0.6547619047619044,2.453350629415774,0.5007881001837161,-0.3811972098904368,1.6907210194142457
subesco,wavlm_base_plus,17,CE,24,5,23,2.6041666666666665,2.702489828253397,0.5516434261902141,1.4630052948406413,3.7453280384926915
subesco,wavlm_base_plus,17,UAR,24,5,23,0.8779761904761904,2.044804176463559,0.41739390468730764,0.014531113002268392,1.7414212679501122
subesco,wavlm_base_plus,18,CE,24,5,23,2.6785714285714284,2.8435234401301592,0.5804317916635302,1.4778567854175029,3.879286071725354
subesco,wavlm_base_plus,18,UAR,24,5,23,0.9374999999999998,1.7742254643154507,0.3621622563521182,0.1883102921906561,1.6866897078093435
subesco,wavlm_base_plus,19,CE,24,5,23,2.6785714285714284,2.8435234401301592,0.5804317916635302,1.4778567854175029,3.879286071725354
subesco,wavlm_base_plus,19,UAR,24,5,23,0.6994047619047616,2.010617245175143,0.410415526559957,-0.14960444054763455,1.5484139643571577
subesco,wavlm_base_plus,20,CE,24,5,23,2.6785714285714284,2.835711547787217,0.5788371958163832,1.4811554582522464,3.8759873988906106
subesco,wavlm_base_plus,20,UAR,24,5,23,0.7589285714285712,2.214918012307055,0.4521182460209864,-0.176349279012054,1.6942064218691963
subesco,wavlm_base_plus,21,CE,24,5,23,2.6785714285714284,2.835711547787217,0.5788371958163832,1.4811554582522464,3.8759873988906106
subesco,wavlm_base_plus,21,UAR,24,5,23,0.7886904761904759,2.1608436814257357,0.44108036945084844,-0.12375378688046734,1.7011347392614193
subesco,wavlm_base_plus,22,CE,24,5,23,2.6785714285714284,2.835711547787217,0.5788371958163832,1.4811554582522464,3.8759873988906106
subesco,wavlm_base_plus,22,UAR,24,5,23,0.6696428571428569,2.1514127856522487,0.439155295912314,-0.2388190879019808,1.5781048021876947
subesco,wavlm_base_plus,23,CE,24,5,23,2.708333333333333,2.817891616401606,0.5751997175542037,1.5184420601039423,3.8982246065627235
subesco,wavlm_base_plus,23,UAR,24,5,23,0.5357142857142854,2.1350790513367337,0.435821186356714,-0.36585052822438957,1.4372790996529603
subesco,wavlm_base_plus,24,CE,24,5,23,2.708333333333333,2.817891616401606,0.5751997175542037,1.5184420601039423,3.8982246065627235
subesco,wavlm_base_plus,24,UAR,24,5,23,0.47619047619047583,1.9179795022867048,0.39150592647663907,-0.3337012381395841,1.2860821905205357
subesco,wavlm_base_plus,25,CE,24,5,23,2.708333333333333,2.817891616401606,0.5751997175542037,1.5184420601039423,3.8982246065627235
subesco,wavlm_base_plus,25,UAR,24,5,23,0.6547619047619047,2.002844767714432,0.4088289762419549,-0.19096526830084382,1.5004890778246531
subesco,wavlm_base_plus,26,CE,24,5,23,2.6636904761904763,2.8648559837711196,0.5847862788998641,1.453967889875636,3.8734130625053167
subesco,wavlm_base_plus,26,UAR,24,5,23,0.6696428571428571,2.0619092146801625,0.4208854559924314,-0.20102504451057768,1.5403107587962919
subesco,wavlm_base_plus,27,CE,24,5,23,2.6636904761904763,2.8648559837711196,0.5847862788998641,1.453967889875636,3.8734130625053167
subesco,wavlm_base_plus,27,UAR,24,5,23,0.6101190476190474,2.264848389701795,0.46231024162779544,-0.3462425520989608,1.5664806473370558
subesco,wavlm_base_plus,28,CE,24,5,23,2.6636904761904763,2.8648559837711196,0.5847862788998641,1.453967889875636,3.8734130625053167
subesco,wavlm_base_plus,28,UAR,24,5,23,0.5803571428571428,2.41724730145992,0.49341853922469925,-0.44035687343188123,1.6010711591461668
subesco,wavlm_base_plus,29,CE,24,5,23,2.6636904761904763,2.8648559837711196,0.5847862788998641,1.453967889875636,3.8734130625053167
subesco,wavlm_base_plus,29,UAR,24,5,23,0.6398809523809523,2.378314403014438,0.4854713946081136,-0.3643931427158711,1.6441550474777757
subesco,wavlm_base_plus,30,CE,24,5,23,2.6636904761904763,2.8648559837711196,0.5847862788998641,1.453967889875636,3.8734130625053167
subesco,wavlm_base_plus,30,UAR,24,5,23,0.5654761904761902,2.474171517262952,0.5050381461184912,-0.47927481404375394,1.6102271949961344
subesco,wavlm_base_plus,31,CE,24,5,23,2.6636904761904763,2.8648559837711196,0.5847862788998641,1.453967889875636,3.8734130625053167
subesco,wavlm_base_plus,31,UAR,24,5,23,0.4910714285714285,2.7154551665076747,0.5542899647790114,-0.6555647254475797,1.6377075825904366
subesco,wavlm_base_plus,32,CE,24,5,23,2.619047619047619,2.8291851604288003,0.5775050025753939,1.4243875004149582,3.81370773768028
subesco,wavlm_base_plus,32,UAR,24,5,23,0.3869047619047617,2.5514159705150457,0.5208056041124827,-0.6904637145914159,1.4642732384009391
