corpus,window,draw,D_CE_pp,D_UAR_pp,J_pp,T_seen_ce_uar,T_unseen_ce_uar,T_seen_uar_uar,T_unseen_uar_uar,last_window_outer_uar,ce_disagreement,uar_disagreement
cremad,10,18,0.08771929824561368,0.1801801801801787,-0.092460881934565,56.363602555553015,56.275883257307406,59.29404073366921,59.11386055348903,56.92645643110039,0.2,0.2
cremad,10,19,0.0,0.12899896800825558,-0.12899896800825558,56.91434468524252,56.91434468524252,58.97832817337461,58.84932920536636,57.18266253869969,0.6,0.6
cremad,10,20,0.0,0.0,0.0,55.83090971635863,55.83090971635863,56.7132626575351,56.7132626575351,52.470212965569,0.0,0.0
cremad,10,21,2.8550207961972673,-0.438596491228067,3.2936172874253344,58.63907250904155,55.78405171284428,57.98682583512304,58.425422326351125,59.3954945657732,0.4,0.4
cremad,10,22,0.7017543859649109,0.5572755417956643,0.14447884416924667,56.233073771773455,55.531319385808544,57.22894580479719,56.67167026300153,51.047471620227036,0.2,0.4
cremad,10,23,0.2427969765431044,-1.2435500515995828,1.4863470281426872,55.60650433715449,55.363707360611386,54.133545310015904,55.37709536161549,54.11569464201043,0.4,0.6
cremad,12,0,-0.07507507507507398,1.5940088695506673,-1.6690839446257413,56.34751835990227,56.422593434977344,59.331850848878716,57.73784197932805,56.213393241257016,0.4,0.8
cremad,12,1,4.2240537751373655,-0.3921568627450981,4.616210637882463,58.58003514350264,54.35598136836527,58.868992831841126,59.26114969458623,54.751764148048984,0.8,0.4
cremad,12,2,0.8793820558526448,0.5602464271194947,0.31913562873315016,57.57247396566282,56.69309190981018,57.133877474434755,56.57363104731526,50.4018513306439,0.2,0.4
cremad,12,3,0.17543859649122454,0.696594427244581,-0.5211558307533565,57.59592832348251,57.42048972699128,58.30581355349157,57.60921912624699,53.306126278262504,0.6,0.6
cremad,12,4,0.7017543859649124,-0.4387528536135349,1.1405072395784472,57.12393085458101,56.4221764686161,57.30374759786524,57.74250045147878,55.22465612248893,0.2,0.6
cremad,12,5,-0.4901960784313701,-0.7200234290017562,0.2298273505703861,53.631495272362145,54.12169135079351,54.279139820935484,54.99916324993724,52.35015200959474,0.2,0.8
cremad,12,6,1.8020807184893868,0.6653261761620897,1.1367545423272971,55.684715111959704,53.88263439347031,55.85217922679224,55.18685305063015,53.34782432305652,0.4,0.6
cremad,12,7,0.43107841869451846,2.1775997782189775,-1.746521359524459,56.28862045270714,55.857542034012624,57.930269137699476,55.7526693594805,52.508124505028526,0.8,0.6
cremad,12,8,-2.443318635269101,0.07635555623171938,-2.5196741915008203,53.269655808355495,55.7129744436246,56.26162047214679,56.18526491591507,51.34172872562965,0.4,0.8
cremad,12,9,0.7017543859649124,1.1244942421413016,-0.42273985617638915,55.77488656281226,55.073132176847345,55.70774157616263,54.58324733402132,53.17792848133405,0.2,0.4
cremad,12,10,1.906843516750638,1.9711042311661515,-0.06426071441551358,54.29988530607726,52.39304178932662,56.902456917936796,54.93135268677064,52.84287946826646,0.8,0.6
cremad,12,11,-1.4765300059417696,-0.36333124568418357,-1.1131987602575861,55.85032823422917,57.32685824017094,56.01859951705153,56.38193076273571,50.20597152176099,0.2,0.8
cremad,12,12,1.0814022578728455,-0.2631578947368439,1.3445601526096893,54.49760765550239,53.416205397629554,54.409888357256776,54.67304625199362,48.86621634299653,0.2,0.2
cremad,12,13,-0.05159958720330025,0.0,-0.05159958720330025,57.79767383482554,57.849273422028844,58.984464340501496,58.984464340501496,57.289348171701114,0.4,0.4
cremad,12,14,1.6885785306837917,-0.15683147262094793,1.8454100033047396,55.90011063695274,54.211532106268955,55.41280514964726,55.569636622268206,52.2138166875009,0.8,0.6
cremad,12,15,3.1424148606811158,-0.7997936016511886,3.9422084623323044,55.794633642930854,52.65221878224975,54.82456140350878,55.62435500515996,50.67079463364293,0.4,0.8
cremad,12,16,3.4107327141382866,1.5892672858617147,1.821465428276572,54.92776057791538,51.517027863777095,57.39422084623324,55.804953560371516,51.326109391124874,0.6,0.6
cremad,12,17,2.236844218268368,-0.4235349900984559,2.660379208366824,58.84659075061552,56.60974653234715,58.84659075061552,59.27012574071398,52.83463452194103,0.6,0.4
cremad,12,18,0.08771929824561368,0.004741583688949902,0.08297771455666378,56.363602555553015,56.275883257307406,58.901883870924124,58.89714228723517,56.74334762570057,0.2,0.4
cremad,12,19,0.0,0.12899896800825558,-0.12899896800825558,56.91434468524252,56.91434468524252,58.97832817337461,58.84932920536636,58.338493292053656,0.6,0.6
