corpus,model,protocol,speaker_id,status,reason,n_required_seeds,n_complete_seeds,n_utterances_per_seed,uar_seed_mean,accuracy_seed_mean,macro_f1_seed_mean
cremad,resnet_se,loso,1023,complete,,3,3,82,0.55423280423280419,0.54471544715447162,0.50338363282140541
cremad,resnet_se,loso,1024,complete,,3,3,82,0.55886243386243384,0.55284552845528456,0.5297507745125829
cremad,resnet_se,loso,1025,complete,,3,3,82,0.56746031746031755,0.56504065040650409,0.55046311205859466
cremad,resnet_se,loso,1026,complete,,3,3,82,0.73280423280423268,0.72764227642276413,0.7211283075359104
cremad,resnet_se,loso,1027,complete,,3,3,82,0.59722222222222232,0.59756097560975607,0.60061690871899098
cremad,resnet_se,loso,1028,complete,,3,3,82,0.59126984126984128,0.58130081300813019,0.56132544686142882
cremad,resnet_se,loso,1029,complete,,3,3,82,0.58531746031746035,0.57723577235772361,0.54493531763237468
cremad,resnet_se,loso,1030,complete,,3,3,82,0.68452380952380942,0.67886178861788615,0.67166392894866889
cremad,resnet_se,loso,1031,complete,,3,3,82,0.45238095238095238,0.43902439024390244,0.38675922015732295
cremad,resnet_se,loso,1032,complete,,3,3,82,0.58465608465608465,0.57723577235772361,0.56362165699754063
cremad,resnet_se,loso,1033,complete,,3,3,82,0.62830687830687826,0.63414634146341464,0.61928874140795143
cremad,resnet_se,loso,1034,complete,,3,3,82,0.51322751322751314,0.51219512195121952,0.4968751904670265
cremad,resnet_se,loso,1035,complete,,3,3,82,0.66534391534391535,0.65853658536585369,0.65519852309289872
cremad,resnet_se,loso,1036,complete,,3,3,82,0.41402116402116401,0.41056910569105692,0.38982093566488535
cremad,resnet_se,loso,1037,complete,,3,3,82,0.74537037037037035,0.73983739837398377,0.73264756088345706
cremad,resnet_se,loso,1038,complete,,3,3,82,0.68055555555555569,0.67479674796747968,0.67670347041490742
cremad,resnet_se,loso,1039,complete,,3,3,82,0.64285714285714279,0.63821138211382111,0.62591342278753526
cremad,resnet_se,loso,1040,complete,,3,3,82,0.68783068783068779,0.68292682926829273,0.67145433815106725
cremad,resnet_se,loso,1041,complete,,3,3,82,0.6256613756613757,0.63008130081300806,0.62185334528076464
cremad,resnet_se,loso,1042,complete,,3,3,82,0.5085978835978836,0.5,0.45619090101297638
cremad,resnet_se,loso,1043,complete,,3,3,82,0.57671957671957663,0.56910569105691067,0.55416941687686816
cremad,resnet_se,loso,1044,complete,,3,3,82,0.65806878306878314,0.65853658536585369,0.66152769119835841
cremad,resnet_se,loso,1045,complete,,3,3,82,0.63095238095238093,0.62195121951219512,0.60930206005653575
cremad,resnet_se,loso,1046,complete,,3,3,82,0.47949735449735448,0.46747967479674796,0.4122087437673696
cremad,resnet_se,loso,1047,complete,,3,3,82,0.83333333333333337,0.82926829268292679,0.8290623284685078
cremad,resnet_se,loso,1048,complete,,3,3,82,0.69246031746031733,0.68699186991869921,0.68383653683470558
cremad,resnet_se,loso,1049,complete,,3,3,82,0.70965608465608465,0.71138211382113825,0.71022701373676134
cremad,resnet_se,loso,1050,complete,,3,3,82,0.61970899470899476,0.61382113821138207,0.5468574347143127
cremad,resnet_se,loso,1051,complete,,3,3,82,0.68716931216931221,0.68292682926829273,0.67101754731849628
cremad,resnet_se,loso,1052,complete,,3,3,82,0.61375661375661383,0.61382113821138207,0.60970163364604579
cremad,resnet_se,loso,1053,complete,,3,3,82,0.73677248677248686,0.73170731707317083,0.73165738999072316
cremad,resnet_se,loso,1054,complete,,3,3,82,0.46230158730158727,0.46747967479674796,0.44368516547389697
cremad,resnet_se,loso,1055,complete,,3,3,82,0.6256613756613757,0.62195121951219512,0.61673828859420732
cremad,resnet_se,loso,1056,complete,,3,3,82,0.6064814814814814,0.59756097560975618,0.55786441549120713
cremad,resnet_se,loso,1057,complete,,3,3,82,0.48346560846560843,0.48373983739837395,0.45662896030972649
cremad,resnet_se,loso,1058,complete,,3,3,82,0.64616402116402105,0.63821138211382111,0.62409294515839342
cremad,resnet_se,loso,1059,complete,,3,3,82,0.43518518518518529,0.43495934959349597,0.38530672606612315
cremad,resnet_se,loso,1060,complete,,3,3,82,0.49801587301587297,0.5,0.46245967674421001
cremad,resnet_se,loso,1061,complete,,3,3,82,0.71362433862433861,0.71544715447154472,0.70896404057734264
