corpus,model,protocol,seed,speaker_id,status,reason,n_utterances,uar,accuracy,macro_f1
ravdess,cnn,loso,1,19,complete,,60,0.515625,0.48333333333333334,0.39456751242541782
ravdess,cnn,loso,1,20,complete,,60,0.515625,0.48333333333333334,0.46499421631000581
ravdess,cnn,loso,1,21,complete,,60,0.375,0.40000000000000002,0.27447362628209704
ravdess,cnn,loso,1,22,complete,,60,0.546875,0.51666666666666672,0.50402391725921136
ravdess,cnn,loso,1,23,complete,,60,0.140625,0.14999999999999999,0.11452702702702702
ravdess,cnn,loso,1,24,complete,,60,0.609375,0.59999999999999998,0.58348214285714284
ravdess,cnn,loso,2,01,complete,,60,0.609375,0.58333333333333337,0.55730994152046776
ravdess,cnn,loso,2,02,complete,,60,0.46875,0.43333333333333335,0.38624028003823396
ravdess,cnn,loso,2,03,complete,,60,0.53125,0.53333333333333333,0.47042340327944043
ravdess,cnn,loso,2,04,complete,,60,0.234375,0.23333333333333334,0.18017416730231375
ravdess,cnn,loso,2,05,complete,,60,0.40625,0.38333333333333336,0.29331183690451429
ravdess,cnn,loso,2,06,complete,,60,0.4375,0.45000000000000001,0.34564393939393939
ravdess,cnn,loso,2,07,complete,,60,0.578125,0.6166666666666667,0.56625404322772743
ravdess,cnn,loso,2,08,complete,,60,0.515625,0.48333333333333334,0.44805021367521364
ravdess,cnn,loso,2,09,complete,,60,0.265625,0.26666666666666666,0.22307852965747704
ravdess,cnn,loso,2,10,complete,,60,0.4375,0.43333333333333335,0.4451236263736264
ravdess,cnn,loso,2,11,complete,,60,0.546875,0.53333333333333333,0.46813001813001809
ravdess,cnn,loso,2,12,complete,,60,0.546875,0.51666666666666672,0.48890594699418227
ravdess,cnn,loso,2,13,complete,,60,0.296875,0.26666666666666666,0.21458653353814644
ravdess,cnn,loso,2,14,complete,,60,0.453125,0.45000000000000001,0.40379273504273505
ravdess,cnn,loso,2,15,complete,,60,0.359375,0.36666666666666664,0.34371843434343435
ravdess,cnn,loso,2,16,complete,,60,0.46875,0.48333333333333334,0.38922811878374536
ravdess,cnn,loso,2,17,complete,,60,0.515625,0.51666666666666672,0.47699243158801979
ravdess,cnn,loso,2,18,complete,,60,0.390625,0.40000000000000002,0.33907419573180442
ravdess,cnn,loso,2,19,complete,,60,0.546875,0.51666666666666672,0.43784744667097608
ravdess,cnn,loso,2,20,complete,,60,0.5,0.46666666666666667,0.43632174277335567
ravdess,cnn,loso,2,21,complete,,60,0.296875,0.31666666666666665,0.18115218115218115
ravdess,cnn,loso,2,22,complete,,60,0.40625,0.38333333333333336,0.33466183574879227
ravdess,cnn,loso,2,23,complete,,60,0.234375,0.25,0.29029720279720278
ravdess,cnn,loso,2,24,complete,,60,0.453125,0.45000000000000001,0.39078282828282829
ravdess,resnet_se,random,0,01,complete,,60,0.65625,0.6333333333333333,0.60279685592185595
ravdess,resnet_se,random,0,02,complete,,60,0.84375,0.83333333333333337,0.7968831392206005
ravdess,resnet_se,random,0,03,complete,,60,0.65625,0.65000000000000002,0.64255550735813893
ravdess,resnet_se,random,0,04,complete,,60,0.640625,0.6166666666666667,0.593293858918859
ravdess,resnet_se,random,0,05,complete,,60,0.625,0.59999999999999998,0.55087719298245608
ravdess,resnet_se,random,0,06,complete,,60,0.703125,0.68333333333333335,0.662890375448425
ravdess,resnet_se,random,0,07,complete,,60,0.65625,0.68333333333333335,0.64866452991452994
ravdess,resnet_se,random,0,08,complete,,60,0.828125,0.81666666666666665,0.81099054454317621
ravdess,resnet_se,random,0,09,complete,,60,0.640625,0.6333333333333333,0.60050373817788683
ravdess,resnet_se,random,0,10,complete,,60,0.59375,0.58333333333333337,0.57892695539754357
ravdess,resnet_se,random,0,11,complete,,60,0.625,0.6166666666666667,0.55691287878787876
ravdess,resnet_se,random,0,12,complete,,60,0.703125,0.68333333333333335,0.6618342731829574
ravdess,resnet_se,random,0,13,complete,,60,0.53125,0.5,0.4731591937474291
ravdess,resnet_se,random,0,14,complete,,60,0.6875,0.66666666666666663,0.65690879382055845
ravdess,resnet_se,random,0,15,complete,,60,0.640625,0.6333333333333333,0.62809963729081375
ravdess,resnet_se,random,0,16,complete,,60,0.8125,0.80000000000000004,0.79185340802987869
ravdess,resnet_se,random,0,17,complete,,60,0.59375,0.56666666666666665,0.5368357654613376
ravdess,resnet_se,random,0,18,complete,,60,0.640625,0.6333333333333333,0.60381037091563405
ravdess,resnet_se,random,0,19,complete,,60,0.671875,0.65000000000000002,0.62956663434604621
ravdess,resnet_se,random,0,20,complete,,60,0.703125,0.68333333333333335,0.68534937284937292
ravdess,resnet_se,random,0,21,complete,,60,0.75,0.73333333333333328,0.71302521008403363
ravdess,resnet_se,random,0,22,complete,,60,0.609375,0.59999999999999998,0.59022166558931266
ravdess,resnet_se,random,0,23,complete,,60,0.65625,0.65000000000000002,0.61474780701754383
ravdess,resnet_se,random,0,24,complete,,60,0.75,0.73333333333333328,0.69795880181909598
ravdess,resnet_se,random,1,01,complete,,60,0.578125,0.55000000000000004,0.53095238095238095
ravdess,resnet_se,random,1,02,complete,,60,0.8125,0.80000000000000004,0.74339632782937737
ravdess,resnet_se,random,1,03,complete,,60,0.625,0.6166666666666667,0.61013410931174095
ravdess,resnet_se,random,1,04,complete,,60,0.609375,0.58333333333333337,0.55610440816642859
ravdess,resnet_se,random,1,05,complete,,60,0.515625,0.51666666666666672,0.49548872180451126
ravdess,resnet_se,random,1,06,complete,,60,0.796875,0.78333333333333333,0.77570903361344534
ravdess,resnet_se,random,1,07,complete,,60,0.59375,0.59999999999999998,0.58920940170940173
ravdess,resnet_se,random,1,08,complete,,60,0.78125,0.76666666666666672,0.75740007541478138
ravdess,resnet_se,random,1,09,complete,,60,0.625,0.65000000000000002,0.6307628716835878
ravdess,resnet_se,random,1,10,complete,,60,0.59375,0.59999999999999998,0.58239244415714997
ravdess,resnet_se,random,1,11,complete,,60,0.609375,0.6166666666666667,0.56062548562548564
ravdess,resnet_se,random,1,12,complete,,60,0.75,0.75,0.75173902894491129
ravdess,resnet_se,random,1,13,complete,,60,0.546875,0.51666666666666672,0.48843115948379101
ravdess,resnet_se,random,1,14,complete,,60,0.59375,0.56666666666666665,0.55941664544605718
ravdess,resnet_se,random,1,15,complete,,60,0.546875,0.53333333333333333,0.53589743911918841
ravdess,resnet_se,random,1,16,complete,,60,0.71875,0.69999999999999996,0.68587716631194895
ravdess,resnet_se,random,1,17,complete,,60,0.671875,0.65000000000000002,0.62654477875066106
ravdess,resnet_se,random,1,18,complete,,60,0.734375,0.71666666666666667,0.70180140636796984
ravdess,resnet_se,random,1,19,complete,,60,0.65625,0.6333333333333333,0.61815900602665308
ravdess,resnet_se,random,1,20,complete,,60,0.71875,0.69999999999999996,0.70003565513433941
ravdess,resnet_se,random,1,21,complete,,60,0.765625,0.75,0.74148969902646367
ravdess,resnet_se,random,1,22,complete,,60,0.625,0.6166666666666667,0.59877068236201358
ravdess,resnet_se,random,1,23,complete,,60,0.703125,0.68333333333333335,0.66715057817999002
