method,fold,rotation,draw,policy,n_test_people_expected,n_test_people_used,nn1_mean,nn1_max,nn3_mean
matched_eight_train_prompts_complete,1,0,1,U,19,19,0.5781537817303912,0.7753323809503826,0.6311583318878189
actual_test_query_neutral_available,1,0,1,U,19,19,0.6350482785642512,0.7547417083384149,0.6739919345465717
matched_eight_train_prompts_complete,1,0,2,C,19,19,0.6051777695176126,0.7814367631997932,0.6679205356491806
actual_test_query_neutral_available,1,0,2,C,19,19,0.6568588134985879,0.7731588108106634,0.7037313377142609
matched_eight_train_prompts_complete,1,0,2,R,19,19,0.57326245555868,0.8102346186984057,0.6387951959099089
actual_test_query_neutral_available,1,0,2,R,19,19,0.6299170360146134,0.8165188487800619,0.6885919233919588
matched_eight_train_prompts_complete,1,0,2,U,19,19,0.571624800345319,0.8105131933166781,0.6325300576984498
actual_test_query_neutral_available,1,0,2,U,19,19,0.6462786679157657,0.8096882735324711,0.6925886111398697
matched_eight_train_prompts_complete,1,1,0,C,19,19,0.5738882261975643,0.7059636571776182,0.6418913458010377
actual_test_query_neutral_available,1,1,0,C,19,19,0.6487890587280853,0.7831744193654697,0.7100841552234834
matched_eight_train_prompts_complete,1,1,0,R,19,19,0.5705500567933666,0.7709243671347843,0.6235561579158326
actual_test_query_neutral_available,1,1,0,R,19,19,0.6317493946169326,0.8015132360451426,0.6872716351195319
matched_eight_train_prompts_complete,1,1,0,U,19,19,0.6003066953128855,0.764437613913376,0.6443166410555549
actual_test_query_neutral_available,1,1,0,U,19,19,0.6572255109988733,0.7466498560922318,0.7096054265661657
matched_eight_train_prompts_complete,1,1,1,C,19,19,0.5738882261975643,0.7059636571776182,0.6418913458010377
actual_test_query_neutral_available,1,1,1,C,19,19,0.6487890587280853,0.7831744193654697,0.7100841552234834
matched_eight_train_prompts_complete,1,1,1,R,19,19,0.5705500567933666,0.7709243671347843,0.6235561579158326
actual_test_query_neutral_available,1,1,1,R,19,19,0.6317493946169326,0.8015132360451426,0.6872716351195319
matched_eight_train_prompts_complete,1,1,1,U,19,19,0.5797765320749501,0.7425518786616412,0.6331519636343522
actual_test_query_neutral_available,1,1,1,U,19,19,0.6431762570680511,0.7792328818756517,0.7058122164656722
matched_eight_train_prompts_complete,1,1,2,C,19,19,0.5738882261975643,0.7059636571776182,0.6418913458010377
actual_test_query_neutral_available,1,1,2,C,19,19,0.6487890587280853,0.7831744193654697,0.7100841552234834
matched_eight_train_prompts_complete,1,1,2,R,19,19,0.5705500567933666,0.7709243671347843,0.6235561579158326
actual_test_query_neutral_available,1,1,2,R,19,19,0.6317493946169326,0.8015132360451426,0.6872716351195319
matched_eight_train_prompts_complete,1,1,2,U,19,19,0.555743161624231,0.6629069397956859,0.6206582654047257
actual_test_query_neutral_available,1,1,2,U,19,19,0.6428424406718504,0.7687540215185961,0.6915654990076845
matched_eight_train_prompts_complete,1,2,0,C,19,19,0.562665543445599,0.7049343214746027,0.6444067490656086
actual_test_query_neutral_available,1,2,0,C,19,19,0.6256568253721135,0.8028570621859638,0.6986108897197616
matched_eight_train_prompts_complete,1,2,0,R,19,19,0.5466902740899181,0.7680093188512611,0.6202766663358803
actual_test_query_neutral_available,1,2,0,R,19,19,0.6156229005185608,0.7595109770244242,0.6749433051519725
matched_eight_train_prompts_complete,1,2,0,U,19,19,0.5617256067767954,0.8371406521657996,0.618670971731434
actual_test_query_neutral_available,1,2,0,U,19,19,0.6240448256449136,0.8113697859435369,0.6820209495192673
matched_eight_train_prompts_complete,1,2,1,C,19,19,0.562665543445599,0.7049343214746027,0.6444067490656086
actual_test_query_neutral_available,1,2,1,C,19,19,0.6256568253721135,0.8028570621859638,0.6986108897197616
matched_eight_train_prompts_complete,1,2,1,R,19,19,0.5466902740899181,0.7680093188512611,0.6202766663358803
actual_test_query_neutral_available,1,2,1,R,19,19,0.6156229005185608,0.7595109770244242,0.6749433051519725
