level,model,replicate,variant,accepted_classes_present,accepted_error,accepted_present_class_uar,accepted_support_0,accepted_support_1,accepted_support_2,accepted_support_3,accepted_support_4,accepted_support_5,accepted_uar,actual_review_rate,b,coverage,error_capture_rate,n_rejected,n_utts,overall_error_rate,overall_uar,quota_accepted_error,quota_coverage,quota_error_capture_rate,speaker_coverage_min,speaker_coverage_p10,speaker_equal_accepted_error,speaker_risk_undefined_count,speakers_below_0.70,speakers_zero,tau,accepted_support_6,accepted_support_7
cremad,resnet_se,r0s0,global_oof,6,0.34532616005379957,65.35336980105859,1109,1005,974,966,887,1007,65.35336980105859,0.2,0.2,0.8,0.3191912495856811,1487,7435,0.40578345662407533,59.80532669137267,0.34904714142427284,0.8045729657027573,0.3079217765992708,0.6585365853658537,0.7195121951219512,0.34526842057480744,0,6,0,0.47059101413823373,,
cremad,resnet_se,r0s0,global_oof,6,0.3212295869356388,67.15382049170469,1037,876,810,810,810,862,67.15382049170469,0.29993275050437124,0.3,0.7000672494956288,0.4458070931388797,2230,7435,0.40578345662407533,59.80532669137267,0.32280768499143997,0.7070611970410222,0.43752071594298975,0.5487804878048781,0.6049382716049383,0.3211164076750564,0,42,0,0.5251212927896511,,
cremad,resnet_se,r0s0,within_fold,6,0.3758589781894234,62.63425797044307,1192,1128,1123,1130,974,1147,62.63425797044307,0.09966375252185608,0.1,0.9003362474781439,0.16605899900563473,741,7435,0.40578345662407533,59.80532669137267,0.37585692995529063,0.902488231338265,0.16407026847862113,0.7682926829268293,0.8395061728395061,0.3756159547176103,0,0,0,0.40509523008993226,,
cremad,resnet_se,r0s0,within_fold,6,0.34705882352941175,65.1729944963785,1113,1000,976,961,888,1012,65.1729944963785,0.19973100201748487,0.2,0.8002689979825152,0.31554524361948955,1485,7435,0.40578345662407533,59.80532669137267,0.34904714142427284,0.8045729657027573,0.3079217765992708,0.6707317073170732,0.7317073170731707,0.3470905660824562,0,4,0,0.47059101413823373,,
cremad,resnet_se,r0s0,within_fold,6,0.3193777607067409,67.31556223858523,1033,882,809,811,816,856,67.31556223858523,0.29966375252185606,0.3,0.7003362474781439,0.4487901889294001,2228,7435,0.40578345662407533,59.80532669137267,0.32280768499143997,0.7070611970410222,0.43752071594298975,0.573170731707317,0.6219512195121951,0.31909051325637083,0,51,0,0.5251212927896511,,
cremad,resnet_se,r1s1,global_oof,6,0.38254632396891813,61.94644499736154,1198,1136,1103,1130,990,1135,61.94644499736154,0.09993275050437121,0.1,0.9000672494956288,0.16476345840130505,743,7435,0.41223940820443844,59.24387825377345,0.38450074515648286,0.902488231338265,0.15823817292006526,0.7682926829268293,0.8536585365853658,0.3820710954550904,0,0,0,0.4097176676388334,,
cremad,resnet_se,r1s1,global_oof,6,0.3562542030934768,64.20893902749081,1104,1009,953,953,917,1012,64.20893902749081,0.2,0.2,0.8,0.30864600326264274,1487,7435,0.41223940820443844,59.24387825377345,0.3594115680374457,0.8045729657027573,0.29853181076672103,0.6219512195121951,0.7317073170731707,0.3557572977544402,0,6,0,0.4700164600773482,,
cremad,resnet_se,r1s1,global_oof,6,0.3279538904899135,66.40409592060365,1024,889,791,779,851,871,66.40409592060365,0.29993275050437124,0.3,0.7000672494956288,0.44306688417618273,2230,7435,0.41223940820443844,59.24387825377345,0.3323188130112231,0.7070611970410222,0.4300163132137031,0.524390243902439,0.6097560975609756,0.3279514293864634,0,44,0,0.5206017400537386,,
cremad,resnet_se,r1s1,within_fold,6,0.3825814161936062,61.9533234214238,1199,1138,1102,1129,987,1139,61.9533234214238,0.09966375252185608,0.1,0.9003362474781439,0.16443719412724306,741,7435,0.41223940820443844,59.24387825377345,0.38450074515648286,0.902488231338265,0.15823817292006526,0.7804878048780488,0.8536585365853658,0.3826296134344094,0,0,0,0.4097176676388334,,
cremad,resnet_se,r1s1,within_fold,6,0.3549579831932773,64.33498081091568,1106,1012,951,948,916,1017,64.33498081091568,0.19973100201748487,0.2,0.8002689979825152,0.3109298531810767,1485,7435,0.41223940820443844,59.24387825377345,0.3594115680374457,0.8045729657027573,0.29853181076672103,0.6463414634146342,0.7195121951219512,0.35509572506861037,0,4,0,0.4700164600773482,,
