level,model,b,speaker,coverage,accepted_error,n_utts,n_reps,n_defined_risk_reps
cremad,cnn,0.1,1057,0.8739837398373984,0.5065274530063263,82,3,3
cremad,cnn,0.1,1058,0.9024390243902438,0.32813375107895654,82,3,3
cremad,cnn,0.1,1059,0.9065040650406505,0.6049122807017544,82,3,3
cremad,cnn,0.1,1060,0.9268292682926829,0.5295282624396548,82,3,3
cremad,cnn,0.1,1061,0.9065040650406503,0.346013221013221,82,3,3
cremad,cnn,0.1,1062,0.9186991869918698,0.41534391534391535,82,3,3
cremad,cnn,0.1,1063,0.9471544715447154,0.2833936919546513,82,3,3
cremad,cnn,0.1,1064,0.9227642276422765,0.34749958434168954,82,3,3
cremad,cnn,0.1,1065,0.9227642276422764,0.40472027972027974,82,3,3
cremad,cnn,0.1,1066,0.9065040650406505,0.37690556454074836,82,3,3
cremad,cnn,0.1,1067,0.8821138211382115,0.5947109080911898,82,3,3
cremad,cnn,0.1,1068,0.894308943089431,0.33205986808726534,82,3,3
cremad,cnn,0.1,1069,0.8902439024390244,0.4063224183087197,82,3,3
cremad,cnn,0.1,1070,0.8821138211382115,0.37269878574226406,82,3,3
cremad,cnn,0.1,1071,0.9308943089430893,0.5109364319890636,82,3,3
cremad,cnn,0.1,1072,0.8861788617886178,0.26136691062064193,82,3,3
cremad,cnn,0.1,1073,0.8455284552845529,0.41144293614881855,82,3,3
cremad,cnn,0.1,1074,0.9065040650406505,0.5694368340943684,82,3,3
cremad,cnn,0.1,1075,0.9552845528455284,0.578708211619604,82,3,3
cremad,cnn,0.1,1076,0.8624999999999999,0.35219438543370857,80,3,3
cremad,cnn,0.1,1077,0.910569105691057,0.5356804172593647,82,3,3
cremad,cnn,0.1,1078,0.9146341463414633,0.2616610971874129,82,3,3
cremad,cnn,0.1,1079,0.910569105691057,0.4419155998103366,82,3,3
cremad,cnn,0.1,1080,0.9430894308943089,0.3283733599213918,82,3,3
cremad,cnn,0.1,1081,0.9430894308943089,0.30578047683310844,82,3,3
cremad,cnn,0.1,1082,0.8983739837398375,0.7143516975660521,82,3,3
cremad,cnn,0.1,1083,0.8780487804878049,0.4122244578582606,82,3,3
cremad,cnn,0.1,1084,0.8170731707317073,0.4130434782608696,82,3,3
cremad,cnn,0.1,1085,0.910569105691057,0.34259259259259256,82,3,3
cremad,cnn,0.1,1086,0.9065040650406505,0.5086580086580087,82,3,3
cremad,cnn,0.1,1087,0.8699186991869919,0.5493285493285494,82,3,3
cremad,cnn,0.1,1088,0.91869918699187,0.46503082029397813,82,3,3
cremad,cnn,0.1,1089,0.8414634146341463,0.4120963869150815,82,3,3
cremad,cnn,0.1,1090,0.8780487804878049,0.3708395709586895,82,3,3
cremad,cnn,0.1,1091,0.8739837398373984,0.5905712050078247,82,3,3
cremad,cnn,0.2,1001,0.8089430894308943,0.6131463892657921,82,3,3
cremad,cnn,0.2,1002,0.7366255144032922,0.46313872111973925,81,3,3
cremad,cnn,0.2,1003,0.7642276422764228,0.26531443466927335,82,3,3
cremad,cnn,0.2,1004,0.7723577235772359,0.32707471739729804,82,3,3
cremad,cnn,0.2,1005,0.7926829268292682,0.45927254098360654,82,3,3
cremad,cnn,0.2,1006,0.7958333333333334,0.430364441130284,80,3,3
cremad,cnn,0.2,1007,0.8089430894308943,0.4158743892682893,82,3,3
cremad,cnn,0.2,1008,0.8026315789473685,0.49275362318840576,76,3,3
cremad,cnn,0.2,1009,0.8333333333333334,0.27142391658520687,76,3,3
cremad,cnn,0.2,1010,0.7317073170731708,0.2677801724137931,82,3,3
cremad,cnn,0.2,1011,0.8333333333333334,0.3315946036534272,82,3,3
cremad,cnn,0.2,1012,0.7154471544715447,0.27197442759440976,82,3,3
cremad,cnn,0.2,1013,0.85,0.3231304643069349,80,3,3
cremad,cnn,0.2,1014,0.8008130081300813,0.27332427536231885,82,3,3
cremad,cnn,0.2,1015,0.8495934959349594,0.3822965466801083,82,3,3
cremad,cnn,0.2,1016,0.7926829268292682,0.3702429742388759,82,3,3
cremad,cnn,0.2,1017,0.8041666666666667,0.42378079436902966,80,3,3
cremad,cnn,0.2,1018,0.8048780487804877,0.23779539800995023,82,3,3
cremad,cnn,0.2,1019,0.7456140350877193,0.34667487684729065,76,3,3
cremad,cnn,0.2,1020,0.8130081300813008,0.281141845122215,82,3,3
cremad,cnn,0.2,1021,0.8577235772357724,0.5213365539452496,82,3,3
cremad,cnn,0.2,1022,0.8211382113821138,0.33669885864793675,82,3,3
cremad,cnn,0.2,1023,0.7479674796747968,0.47746761539864985,82,3,3
cremad,cnn,0.2,1024,0.7439024390243901,0.45301134026676065,82,3,3
